"workstream_hash","workstream_title","workstream_description","workstream_status","workstream_priority","workstream_complexity","estimated_completion_time","workstream_has_dependencies","output_result","workstream_created_at","workstream_updated_at","drop_id","drop_hash","drop_title","owner_id","drop_priority","drop_complexity","estimated_time","completion_time","details","objectives","tasks","drop_has_dependencies","drop_status","drop_created_at","due_date","last_updated","comments","assignment_date","completion_date","failed_drops","tags","origin_job_id","aggregated_notes","aggregated_test_outcomes","last_aggregated_at","dependencies"
a2d9d899c7f572b4dfa7e5362b989971,Automated Tests and Regression Coverage,"Deliver automated unit and integration tests that validate exact-match retrieval, permission enforcement, route construction for all four structures, event inclusion rules (including Assigned and cancelled), timezone handling, and public endpoint behaviors like non-leaky errors and throttling. Tests use deterministic fixtures and mock FMT responses, run in CI, and include regression checks to prevent N+1 queries and output schema regressions. Include API-level contract tests to ensure the client receives stable event keys and timezone identifiers.",Active,High,"6",3,false,"",2026-01-22 17:13:58.394,2026-01-22 17:13:58.394,8172,"10c6f87fe3833bfb45325a0f697d90cf",Deterministic fixtures and mocked FMT responses,"4b3d487653786b8296235baa36ed4b8f",High,"4",6,0,Adds deterministic fixtures (tests/fixtures/events_fixture.json) containing Assigned and Cancelled example events and a mocked FMT responder (tests/mocks/fmt_mock.py) wired into tests/conftest.py. Verification: running the smoke test command (pytest -k fixtures) loads fixtures and the fmt mock returns the deterministic payload shown in tests/fixtures/events_fixture.json.,"Provide stable, deterministic input data and a reusable FMT mock so all downstream tests run reproducibly today.","[""Create tests/fixtures/events_fixture.json with deterministic Assigned and Cancelled event records (stable event keys, timezone fields)"", ""Implement tests/mocks/fmt_mock.py to return the exact payloads from events_fixture.json for all FMT endpoints"", ""Wire fmt_mock into test setup in tests/conftest.py via dependency injection/patching"", ""Add a smoke test tests/unit/test_fixtures_loads.py that imports fixture and asserts fixed values (event.key, status, timezone)"", ""Run pytest -k fixtures locally and confirm the smoke test passes""]",false,Completed,2026-01-22 17:42:08.457,,2026-03-03 17:10:20.007,"",2026-03-03 16:56:07.300,2026-03-03 17:10:20.006,,"fixtures, FMT, mock, deterministic, tests",,,,,(none)
a2d9d899c7f572b4dfa7e5362b989971,Automated Tests and Regression Coverage,"Deliver automated unit and integration tests that validate exact-match retrieval, permission enforcement, route construction for all four structures, event inclusion rules (including Assigned and cancelled), timezone handling, and public endpoint behaviors like non-leaky errors and throttling. Tests use deterministic fixtures and mock FMT responses, run in CI, and include regression checks to prevent N+1 queries and output schema regressions. Include API-level contract tests to ensure the client receives stable event keys and timezone identifiers.",Active,High,"6",3,false,"",2026-01-22 17:13:58.394,2026-01-22 17:13:58.394,8173,"97ab49b80327454c7ac4cdde9f011e10",Unit and integration tests for exact-match retrieval,"4b3d487653786b8296235baa36ed4b8f",High,"5",6,0,Adds unit and integration tests that verify exact-match retrieval: tests/unit/test_exact_match.py (unit) and tests/integration/test_exact_match_integration.py (integration) using the deterministic fixtures and FMT mock. Verification: run pytest -k exact_match and see assertions that GET /public/events?key=<stable_key> (integration) and service.fetch_by_exact_match('stable_key') (unit) return only the expected event.,Ensure exact-match retrieval returns only the precise event and no extra records in both unit and integration contexts.,"[""Write unit test tests/unit/test_exact_match.py that calls the exact-match function with 'stable_event_key' and asserts single return equals fixture record"", ""Write integration test tests/integration/test_exact_match_integration.py that issues a test HTTP GET to the public events handler (e.g., GET /public/events?key=stable_event_key) with fmt_mock active and asserts 200 and response.events contains only the expected id"", ""Ensure tests use tests/fixtures/events_fixture.json and tests/mocks/fmt_mock.py from Drop 1"", ""Run pytest -k exact_match and confirm both unit and integration tests pass""]",true,Completed,2026-01-22 17:42:08.476,,2026-03-05 20:27:07.070,"",2026-03-05 20:09:41.429,2026-03-05 20:27:07.070,,"exact-match, unit-test, integration, API, GET",,,,,"8172: Deterministic fixtures and mocked FMT responses"
a2d9d899c7f572b4dfa7e5362b989971,Automated Tests and Regression Coverage,"Deliver automated unit and integration tests that validate exact-match retrieval, permission enforcement, route construction for all four structures, event inclusion rules (including Assigned and cancelled), timezone handling, and public endpoint behaviors like non-leaky errors and throttling. Tests use deterministic fixtures and mock FMT responses, run in CI, and include regression checks to prevent N+1 queries and output schema regressions. Include API-level contract tests to ensure the client receives stable event keys and timezone identifiers.",Active,High,"6",3,false,"",2026-01-22 17:13:58.394,2026-01-22 17:13:58.394,8174,a26367c7e6f962677e4fb709eff541b6,Permission enforcement unit and integration tests,"4b3d487653786b8296235baa36ed4b8f",High,"6",6,0,"Adds unit and integration tests that assert permission enforcement: unauthorized requests receive 403 and authorized roles (e.g., 'viewer', 'owner') receive 200 for GET /events and GET /events/{id}. Verification: run pytest -k permission and see tests that simulate auth tokens and assert correct status codes and no leakage of internal info.",Validate that permission checks are enforced at both unit and integration levels and that unauthorized access is blocked with correct HTTP status codes.,"[""Add unit tests tests/unit/test_permissions.py that exercise the permission check util (e.g., auth.check_permissions) for viewer/owner/none roles"", ""Add integration tests tests/integration/test_permissions_endpoints.py that call GET /events and GET /events/{id} with mocked auth tokens representing different roles and assert 200 or 403 as expected"", ""Mock FMT and backend fixtures so tests are deterministic"", ""Run pytest -k permission and confirm assertions on 200/403 and that response bodies contain only allowed fields""]",true,Completed,2026-01-22 17:42:08.490,,2026-03-06 19:25:47.463,"",2026-03-06 19:09:33.713,2026-03-06 19:25:47.463,,"permissions, auth, 403, unit-test, integration",,,,,"8172: Deterministic fixtures and mocked FMT responses"
a2d9d899c7f572b4dfa7e5362b989971,Automated Tests and Regression Coverage,"Deliver automated unit and integration tests that validate exact-match retrieval, permission enforcement, route construction for all four structures, event inclusion rules (including Assigned and cancelled), timezone handling, and public endpoint behaviors like non-leaky errors and throttling. Tests use deterministic fixtures and mock FMT responses, run in CI, and include regression checks to prevent N+1 queries and output schema regressions. Include API-level contract tests to ensure the client receives stable event keys and timezone identifiers.",Active,High,"6",3,false,"",2026-01-22 17:13:58.394,2026-01-22 17:13:58.394,8175,d9493e6c334038798a4a5ec62612e684,Route construction tests for all four structures,"4b3d487653786b8296235baa36ed4b8f",Medium-High,"5",6,0,"Implements tests for route construction for all four URL structures used by the service (collection, item, nested, legacy). Verification: unit tests call the route builder with example params and assert exact path strings, and an integration test issues a request to one constructed path and expects a 200 from the handler.","Confirm router builds correct, encoded URLs for every supported structure so downstream clients receive stable routes.","[""Define the four route structure test cases in tests/unit/test_routes.py with expected path strings using fixture params"", ""Add assertions for parameter encoding and timezone segment inclusion in route strings"", ""Add a small integration test tests/integration/test_route_execution.py that issues a request to one constructed path and expects a 200 with the fixture payload"", ""Run pytest -k routes and confirm all path assertions match the expected strings""]",true,Completed,2026-01-22 17:42:08.504,,2026-03-03 21:24:39.754,"",2026-03-03 21:05:37.568,2026-03-03 21:24:39.753,,"routing, route-construction, unit-test, URLs",,,,,"8172: Deterministic fixtures and mocked FMT responses"
a2d9d899c7f572b4dfa7e5362b989971,Automated Tests and Regression Coverage,"Deliver automated unit and integration tests that validate exact-match retrieval, permission enforcement, route construction for all four structures, event inclusion rules (including Assigned and cancelled), timezone handling, and public endpoint behaviors like non-leaky errors and throttling. Tests use deterministic fixtures and mock FMT responses, run in CI, and include regression checks to prevent N+1 queries and output schema regressions. Include API-level contract tests to ensure the client receives stable event keys and timezone identifiers.",Active,High,"6",3,false,"",2026-01-22 17:13:58.394,2026-01-22 17:13:58.394,8176,fe5446a2f7959ccb91ba7c1a4791d073,Event inclusion tests for Assigned and Cancelled,"4b3d487653786b8296235baa36ed4b8f",Medium-High,"5",6,0,Adds tests to verify event inclusion rules for Assigned and Cancelled statuses using deterministic fixtures and fmt_mock. Verification: run pytest -k event_inclusion and see tests asserting Assigned events are present and Cancelled events follow the business rule (included or excluded) as encoded in the test.,Ensure the service applies event inclusion rules correctly for Assigned and Cancelled events so clients receive the expected set of events.,"[""Create fixture variants in tests/fixtures/events_fixture.json including multiple Assigned and Cancelled cases"", ""Write tests/unit/test_event_inclusion.py asserting Assigned events are always included"", ""Write tests/integration/test_event_inclusion_rules.py asserting Cancelled events are included/excluded per the retention rule (use a timestamp boundary in fixture)"", ""Run pytest -k event_inclusion and confirm pass/fail outcomes match expected inclusion rules""]",true,Completed,2026-01-22 17:42:08.522,,2026-03-03 19:55:00.083,"",2026-03-03 19:40:35.940,2026-03-03 19:55:00.082,,"events, Assigned, Cancelled, inclusion, tests",,,,,"8172: Deterministic fixtures and mocked FMT responses"
a2d9d899c7f572b4dfa7e5362b989971,Automated Tests and Regression Coverage,"Deliver automated unit and integration tests that validate exact-match retrieval, permission enforcement, route construction for all four structures, event inclusion rules (including Assigned and cancelled), timezone handling, and public endpoint behaviors like non-leaky errors and throttling. Tests use deterministic fixtures and mock FMT responses, run in CI, and include regression checks to prevent N+1 queries and output schema regressions. Include API-level contract tests to ensure the client receives stable event keys and timezone identifiers.",Active,High,"6",3,false,"",2026-01-22 17:13:58.394,2026-01-22 17:13:58.394,8177,"5365986edeec9ccb7acb9515eed5a107",Timezone identifier and conversion tests,"4b3d487653786b8296235baa36ed4b8f",Medium-High,"6",6,0,"Adds tests that validate timezone identifier handling and conversion utilities: unit tests for conversion functions and an integration test that requests events with tz parameter and verifies returned ISO timestamps reflect the requested IANA timezone (e.g., 'America/Los_Angeles'). Verification: run pytest -k timezone and assert the timezone field equals the fixture value and timestamps include the expected offset.",Guarantee timezone identifiers (IANA names) are preserved in output and timestamps are converted correctly for client-specified timezones.,"[""Add fixture entries with timezone fields in tests/fixtures/events_fixture.json"", ""Write unit tests tests/unit/test_timezone_conversion.py for convert_to_timezone(dt, tz) asserting expected ISO offsets"", ""Add integration test tests/integration/test_timezone_query_param.py that calls GET /public/events?tz=America/Los_Angeles and asserts response timestamps and timezone field values"", ""Run pytest -k timezone and confirm timezone fields and offsets match expected values""]",true,Completed,2026-01-22 17:42:08.539,,2026-03-04 21:43:29.141,"",2026-03-04 21:24:38.023,2026-03-04 21:43:29.141,,"timezone, IANA, conversion, tests",,,,,"8172: Deterministic fixtures and mocked FMT responses"
a2d9d899c7f572b4dfa7e5362b989971,Automated Tests and Regression Coverage,"Deliver automated unit and integration tests that validate exact-match retrieval, permission enforcement, route construction for all four structures, event inclusion rules (including Assigned and cancelled), timezone handling, and public endpoint behaviors like non-leaky errors and throttling. Tests use deterministic fixtures and mock FMT responses, run in CI, and include regression checks to prevent N+1 queries and output schema regressions. Include API-level contract tests to ensure the client receives stable event keys and timezone identifiers.",Active,High,"6",3,false,"",2026-01-22 17:13:58.394,2026-01-22 17:13:58.394,8178,f5c03a8c31fac18419d72040e7385dfb,Public endpoint non-leaky error behavior tests,"4b3d487653786b8296235baa36ed4b8f",High,"6",6,0,"Implements tests ensuring public endpoints return non-leaky error responses: internal errors return generic 500 payloads without stack traces, and auth/validation errors return safe messages (401/403/400). Verification: run pytest -k non_leaky_errors and use an integration curl (or test HTTP client) to trigger each error path and inspect response bodies contain no internal fields.",Ensure public-facing endpoints never leak internal implementation details or stack traces in error responses.,"[""Add unit tests tests/unit/test_error_wrapping.py that simulate internal exceptions and assert wrapper returns {'error':'internal_server_error'} without internal fields"", ""Add integration tests tests/integration/test_public_errors.py to trigger 400/401/403/404 and assert safe messages and correct status codes"", ""Use fmt_mock and deterministic fixtures so error cases are reproducible"", ""Execute pytest -k non_leaky_errors and run a sample curl against the local handler to confirm response bodies contain no stack or debug fields""]",true,Completed,2026-01-22 17:42:08.552,,2026-03-05 22:17:27.896,"",2026-03-05 20:27:56.978,2026-03-05 22:17:27.896,,"public-endpoint, errors, non-leaky, security, tests",,,,,"8172: Deterministic fixtures and mocked FMT responses"
a2d9d899c7f572b4dfa7e5362b989971,Automated Tests and Regression Coverage,"Deliver automated unit and integration tests that validate exact-match retrieval, permission enforcement, route construction for all four structures, event inclusion rules (including Assigned and cancelled), timezone handling, and public endpoint behaviors like non-leaky errors and throttling. Tests use deterministic fixtures and mock FMT responses, run in CI, and include regression checks to prevent N+1 queries and output schema regressions. Include API-level contract tests to ensure the client receives stable event keys and timezone identifiers.",Active,High,"6",3,false,"",2026-01-22 17:13:58.394,2026-01-22 17:13:58.394,8179,ff2482bf0fb75c29a8703fe270814751,Public endpoint throttling behavior tests,"4b3d487653786b8296235baa36ed4b8f",Medium-High,"6",6,0,Adds automated tests that verify rate-limiting behavior for public endpoints: a test that performs repeated GET /public/events calls until the configured low threshold and asserts 429 is returned with Retry-After or X-RateLimit headers. Verification: run pytest -k throttling and confirm header presence and 429 behavior.,Confirm throttling is enforced and returns the expected status and headers so clients receive clear rate-limit signals.,"[""Configure a test-only low rate limit in tests (or use rate limit fixture) for predictable behavior"", ""Write an integration test tests/integration/test_throttling.py that issues repeated requests to GET /public/events and asserts 200 up to threshold and 429 afterwards"", ""Assert presence and format of Retry-After or X-RateLimit headers in the 429 response"", ""Run pytest -k throttling and confirm header checks and 429 enforcement""]",true,Completed,2026-01-22 17:42:08.566,,2026-03-04 21:56:34.828,"",2026-03-04 21:56:33.691,2026-03-04 21:56:34.828,,"throttling, rate-limit, public-endpoint, 429, tests",,,,,"8172: Deterministic fixtures and mocked FMT responses"
a2d9d899c7f572b4dfa7e5362b989971,Automated Tests and Regression Coverage,"Deliver automated unit and integration tests that validate exact-match retrieval, permission enforcement, route construction for all four structures, event inclusion rules (including Assigned and cancelled), timezone handling, and public endpoint behaviors like non-leaky errors and throttling. Tests use deterministic fixtures and mock FMT responses, run in CI, and include regression checks to prevent N+1 queries and output schema regressions. Include API-level contract tests to ensure the client receives stable event keys and timezone identifiers.",Active,High,"6",3,false,"",2026-01-22 17:13:58.394,2026-01-22 17:13:58.394,8180,cf3631b852f8388e158f09e931b07557,N+1 query regression detection test,"4b3d487653786b8296235baa36ed4b8f",High,"7",7,0,Adds an N+1 query detection regression test that counts DB queries during the events list flow and fails if the query count exceeds the stored baseline in tests/fixtures/query_baseline.json. Verification: run pytest -k n_plus_one; the test reports actual vs baseline query counts and fails on regression.,Detect and prevent N+1 query regressions by enforcing a query-count baseline for a representative request path.,"[""Implement a lightweight query profiler stub in tests/helpers/query_counter.py that hooks into the DB layer to count SQL statements"", ""Add integration test tests/integration/test_n_plus_one.py that loads 50 events from fixtures and issues the events list request while recording query count"", ""Store baseline query count in tests/fixtures/query_baseline.json and assert current_count <= baseline_count"", ""Run pytest -k n_plus_one and confirm counts are reported and the test fails if the baseline is exceeded""]",true,Completed,2026-01-22 17:42:08.587,,2026-03-06 20:40:58.398,"",2026-03-06 20:40:57.484,2026-03-06 20:40:58.398,,"n+1, performance, db, regression, tests",,,,,"8172: Deterministic fixtures and mocked FMT responses"
a2d9d899c7f572b4dfa7e5362b989971,Automated Tests and Regression Coverage,"Deliver automated unit and integration tests that validate exact-match retrieval, permission enforcement, route construction for all four structures, event inclusion rules (including Assigned and cancelled), timezone handling, and public endpoint behaviors like non-leaky errors and throttling. Tests use deterministic fixtures and mock FMT responses, run in CI, and include regression checks to prevent N+1 queries and output schema regressions. Include API-level contract tests to ensure the client receives stable event keys and timezone identifiers.",Active,High,"6",3,false,"",2026-01-22 17:13:58.394,2026-01-22 17:13:58.394,8181,"23e30aae46e27c9bbdab23f90a173051",Output schema regression test and guard,"4b3d487653786b8296235baa36ed4b8f",High,"7",7,0,Adds an output schema regression test that compares current API JSON against the golden schema stored at tests/fixtures/output_schema.json and fails if fields are added/removed or types change. Verification: run pytest -k schema and inspect tests/artifacts/schema_diff.json for mismatches if the test fails.,Protect clients from unexpected output schema changes by failing the test suite on any regression in response shape.,"[""Create golden schema file tests/fixtures/output_schema.json representing the approved public response shape"", ""Write tests/unit/test_output_schema_regression.py that issues a sample GET /public/events using fixtures and validates the response against the golden schema via JSON Schema validator"", ""On mismatch, write a human-readable diff to tests/artifacts/schema_diff.json and fail the test"", ""Run pytest -k schema and confirm the validator passes or artifacts include the diff""]",true,Completed,2026-01-22 17:42:08.602,,2026-03-06 19:41:10.591,"",2026-03-06 19:27:39.252,2026-03-06 19:41:10.591,,"schema, regression, output, API, tests, contract",,,,,"8172: Deterministic fixtures and mocked FMT responses"
